user1 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-036 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-037 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-038 ; 9;1;1;1;13;4;1;9;-1;-1;9;9;5;12; = 72
YA78-039 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-040 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-041 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-047 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-049 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-050 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-051 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-052 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-053 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-054 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-055 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-056 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-057 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-058 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-059 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-060 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-061 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-062 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-063 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-064 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA78-065 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-004 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-012 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-013 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-024 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-033 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-035 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-042 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-043 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-044 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-045 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-046 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-048 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
YA911-022 ; 9;1;-1;1;15;2;1;10;-1;3;2;9;5;10; = 66
YA911-021 ; 9;1;-1;1;1;3;1;3;-1;3;-1;9;5;11; = 44
YA911-014 ; 8;-1;-1;1;5;4;1;7;-1;1;4;5;5;10; = 48
YA911-011 ; 9;1;-1;1;4;2;-1;10;-1;1;2;3;3;9; = 42
YA911-009 ; 9;1;-1;1;9;4;1;10;-1;3;1;5;5;10; = 57
YA911-017 ; 9;-1;1;1;5;-1;1;-1;-1;1;2;1;5;9; = 31
YA911-016 ; 9;1;-1;1;10;2;1;8;-1;3;4;7;3;12; = 59
YA911-010 ; 9;-1;-1;1;6;2;-1;10;-1;1;2;9;3;12; = 51
YA911-008 ; 8;1;1;1;15;2;-1;5;-1;-1;-1;9;3;6; = 47
YA911-018 ; 9;1;-1;1;12;2;1;8;-1;-1;1;7;5;8; = 52
YA911-015 ; 9;1;1;1;12;2;1;10;-1;3;6;9;5;12; = 71
YA911-026 ; 7;-1;-1;1;10;2;-1;5;-1;3;-1;5;2;8; = 38
YA911-027 ; 9;-1;-1;-1;8;-1;1;2;-1;3;3;3;3;11; = 38
YA911-003 ; 9;1;1;1;15;2;1;10;-1;-1;9;9;5;12; = 73
YA78-027 ; 6;1;-1;-1;4;-1;-1;3;-1;-1;1;-1;5;2; = 15
YA911-038 ; 9;1;-1;1;15;2;1;10;1;3;7;9;5;12; = 75
YA911-034 ; 7;1;-1;1;-1;2;1;2;-1;1;2;1;3;3; = 21
YA911-039 ; 6;1;-1;1;1;2;1;3;-1;1;2;1;3;1; = 21
YA911-032 ; 7;-1;-1;1;7;2;1;7;-1;3;1;9;5;9; = 49
YA911-041 ; 7;-1;-1;1;14;1;1;10;-1;3; ;2;5;-1; = 40
YA911-047 ; 9;-1;1;1;15;1;1;10;-1;3;7;7; ;12; = 65
YA911-040 ; 7;-1;-1;1;13;-1;1;10;-1;3; ;9;5; ; = 45
